CUSIP,SYMBOL
B38564108,EURN
C00948106,AGRI
C96657116,VMAR
D18190898,DB
F21107101,CSTM
G0R21B112,ACTDW
G0083E102,ACBA
G0084W101,ADNT
G01046112,IMPXWS
G01109118,AFTRU
G01109126,AFTRWS
G0112R116,AGACU
G0120M125,AGBAR
G01202111,AGGRW
G0176J109,ALLE
G02602103,DOX
G0370L108,AGC
G0370L116,AGCWW
G0370L124,AGCUU
G03709121,ATMRWS
G0403H108,AON
G041JN106,AEHL
G0411R114,APSGWS
G04119122,PFDRW
G0412A102,APGB
G0412A128,APGBWS
G04553106,ARCE
G0457F107,ARCO
G0477L100,ANAC
G0477L126,ANACWS
G0509L102,ARTA
G05157121,ACDIU
G0535E106,APWC
G05384154,AHLPRC
G0567U101,ARQQ
G0567U119,ARQQW
G06242104,TEAM
G0633D109,AUS
G0633D125,AUSWS
G0633U127,ASZWS
G06536117,WAVCWS
G06607108,AEAC
G0684D305,ATHPRA
G06974102,AUIAF
G0698L129,AURCW
G07031100,BBLN
G07031118,BBLNWS
G07247110,AHPAU
G0750C108,AXTA
G0751N103,AY
G08908108,BAOS
G11196105,BHVN
G1125A108,BIOT
G1125A116,BIOTW
G1144A105,BTBT
G11765123,BCSAU
G1195R122,BSGAU
G1329V106,BHAT
G1330M129,BWCAW
G1355U113,BTWN
G1355U121,BTWNW
G1355V103,BTNB
G14492105,BON
G1466B103,BRQS
G1466R207,BORR
G14838109,MIME
G16169107,BAMR
G1624R107,BPYPM
G16249149,BPYPP
G16249156,BPYPO
G16249164,BPYPN
G16258108,BEP
G16962105,BG
G1739V100,BSN
G1745A116,CCTSU
G1890L107,CPRI
G19276115,GLBLW
G19276123,GLBLU
G19550121,CPARW
G1992N100,PRPC
G1992N126,PRPCWS
G2R05B118,DPCSU
G2007L105,CZOO
G2058L103,CLAY
G2058L111,CLAYW
G2061X128,CBRGU
G21307106,CINT
G2143T103,CMPR
G21513109,CCAC
G2161Y109,CLEU
G21621100,PLIN
G2181K105,CNEY
G21810109,CLVT
G2263T107,MITAW
G2284B119,CLAAWS
G23726105,CRHC
G23726113,CRHCWS
G23773107,CWCO
G2425N113,COOLW
G2476C115,CDAQU
G2554Y120,COVAW
G25741102,CPTK
G25741110,CPTKWS
G25839104,CCEP
G2758T109,DHCA
G2758T117,DHCAW
G2773W103,DCRD
G2773W111,DCRDW
G2788T103,DOGZ
G27907107,DOLE
G28315102,DGNU
G28365107,LYL
G28553116,DSACW
G29183103,ETN
G2952X104,EJH
G2955B109,EJFA
G2955B125,EJFAW
G3R19A104,FTEV
G3R23A108,GLTA
G3R239101,GAMB
G30092103,EOCW
